experience,median_integration_time,component,platform,severity,priority,description_size,hascode,bug_id,files,comments,tossing,activities,comments_interval,churn,fix_time,workload,creation_to_release,days,delay,resolver,entire_int_rate,prev_int_rate,coming_from_prev,has_stack,resolver_experience,rank_ratio,active_developers,release_size,class,class2
951,0,Core,'PC Windows 2000',normal,P3,25,false,28109,1,3,1,6,84,4,1,277,0,325,2,Kent Johnson,0,0,178,false,100,0.523400191,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,34,false,28115,1,9,0,8,21,6,1,276,0,325,2,Jerome Lanneluc,0,0,178,false,206,0.521489971,10,548,1,after-2
26,0,Core,'PC Windows 2000',normal,P3,48,true,28296,1,5,1,7,30,4,0,279,0,324,2,Olivier Thomann,0,0,178,false,221,0.52722063,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,88,true,28298,1,7,1,5,20,8,0,280,0,324,2,Philipe Mulet,0,0,178,false,294,0.52913085,10,548,1,after-2
1061,0,Core,'PC Windows 2000',major,P3,113,false,28434,3,5,2,8,6,20,0,286,0,320,2,Jerome Lanneluc,0,0,178,false,210,0.540592168,10,548,1,after-2
896,0,Core,'PC Windows 2000',major,P3,84,false,28447,2,4,1,5,8,8,0,284,0,320,2,Jerome Lanneluc,0,0,178,false,209,0.536771729,10,548,1,after-2
819,0,Core,'PC Windows 2000',major,P3,31,false,28476,2,4,1,7,8,45,0,285,0,320,2,Philipe Mulet,0,0,178,false,295,0.538681948,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,72,false,28531,1,7,4,12,208,3,23,309,0,296,2,Jerome Lanneluc,0,0,178,false,217,0.58643744,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,75,false,28557,1,7,1,6,208,6,19,291,0,300,2,Olivier Thomann,0,0,178,false,224,0.552053486,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,49,false,28559,1,5,1,6,312,167,21,296,0,299,2,Olivier Thomann,0,0,178,false,225,0.561604585,10,548,1,after-2
951,0,Core,'PC Windows 2000',major,P3,55,false,28583,1,4,0,5,408,2,1,287,0,318,2,Jerome Lanneluc,0,0,178,false,211,0.542502388,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,85,false,28596,2,4,1,7,408,40,21,303,0,298,2,Jerome Lanneluc,0,0,178,false,212,0.574976122,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,51,false,28599,1,4,1,6,408,40,22,307,0,297,2,Jerome Lanneluc,0,0,178,false,216,0.582617001,10,548,1,after-2
346,0,Core,'PC Windows 2000',normal,P3,209,true,28615,1,4,1,6,408,12,18,290,0,300,2,Olivier Thomann,0,0,178,false,223,0.550143266,10,548,1,after-2
444,0,Core,'PC Windows 2000',normal,P3,29,false,28666,3,7,3,10,200,202,36,358,0,282,2,Jerome Lanneluc,0,0,178,false,236,0.680038204,10,548,1,after-2
346,0,Core,'All All',enhancement,P3,15,false,28672,1,4,1,6,432,70,19,302,0,298,2,Olivier Thomann,0,0,178,false,229,0.573065903,10,548,1,after-2
1,0,Core,'PC Windows XP',major,P3,216,true,28750,1,23,2,27,52.36363636,2,16,289,0,300,2,Olivier Thomann,0,0,178,true,222,0.548233047,10,548,1,after-2
130,0,Core,'PC Windows 2000',normal,P3,86,false,28822,1,8,1,6,157.7142857,7,17,304,0,297,2,Jerome Lanneluc,0,0,178,true,213,0.576886342,10,548,1,after-2
1,0,Core,'PC Windows 2000',normal,P3,85,true,28869,1,10,4,13,117.3333333,56,13,299,0,298,2,Philipe Mulet,0,0,178,false,298,0.567335244,10,548,1,after-2
370,0,Core,'Macintosh Mac OS X - Carbon (unsup.)',major,P2,63,true,29151,1,8,3,14,116.5714286,2,14,353,0,284,2,Olivier Thomann,0,0,178,false,242,0.670487106,10,548,1,after-2
49,0,Core,'PC All',major,P3,41,false,29159,1,4,1,8,272,10,0,305,0,297,2,Jerome Lanneluc,0,0,178,false,214,0.578796562,10,548,1,after-2
951,0,Core,'PC Windows 2000',normal,P3,104,false,29274,1,9,0,7,246,84,3,313,0,293,2,Jerome Lanneluc,0,0,178,false,218,0.594078319,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,38,false,29277,1,4,1,6,248,3,3,316,0,293,2,Olivier Thomann,0,0,178,false,233,0.599808978,10,548,1,after-2
819,0,Core,'PC Windows 2000',normal,P3,61,false,29306,2,3,1,6,372,7,6,335,0,289,2,Jerome Lanneluc,0,0,178,false,227,0.636103152,10,548,1,after-2
3,0,Core,'All All',minor,P3,56,false,29337,1,4,1,5,248,22,8,339,0,286,2,Philipe Mulet,0,0,178,false,306,0.643744031,10,548,1,after-2
1061,0,Core,'PC Windows 2000',major,P3,55,false,29374,1,11,2,13,57.6,5,1,322,0,292,2,Jerome Lanneluc,0,0,178,false,222,0.611270296,10,548,1,after-2
281,0,Core,'All All',enhancement,P3,43,false,29376,1,12,1,6,63.27272727,26,0,315,0,293,2,Olivier Thomann,0,0,178,false,232,0.597898758,10,548,1,after-2
4,0,Core,'PC Linux-GTK',normal,P3,96,false,29411,1,12,1,5,61.09090909,5,13,366,0,279,2,Kent Johnson,0,0,178,false,108,0.695319962,10,548,1,after-2
3,0,Core,'PC Windows 2000',critical,P3,165,true,29487,2,3,1,5,276,102,2,332,0,289,2,Philipe Mulet,0,0,178,true,305,0.630372493,10,548,1,after-2
1625,0,Core,'PC Linux-GTK',major,P3,31,true,29516,1,10,1,6,58.66666667,5,0,325,0,291,2,Jerome Lanneluc,0,0,178,false,224,0.617000955,10,548,1,after-2
